variant,qualifying_signals,trades,expectancy_r,median_r,profit_factor,win_rate,max_drawdown_r,net_r,return_dd,avg_hold_min,mfe_r,mae_r,two_tick_expectancy_r,session_max_net_share,halfyear_max_net_share,net_2023,net_2024,net_2025,net_2023H1,net_2023H2,net_2024H1,net_2024H2,net_2025H1,net_2025H2,range_threshold,day_threshold,kind
GRID_RANGE_0.250000_DAY_0.20,275,269,0.25282814950354887,0.5818181818181818,1.591520013792571,0.5539033457249071,10.93979612565957,68.01077221645468,6.216822638671821,210.7472118959108,1.5129851580272438,0.6894049493604386,0.23588471200763073,0.40584651618344486,0.3208042011196527,16.336760031491494,18.588985197944716,32.96262934471833,3.9559791731174787,12.380780858374013,21.818141448430413,-3.229156250485693,15.678288729034325,17.28434061568401,0.25,0.2,interaction_grid
GRID_RANGE_0.250000_DAY_0.25,247,242,0.23910234971548566,0.564020391987318,1.5408214931018118,0.5454545454545454,8.554419048870862,57.862768631147574,6.764079278859405,208.22314049586777,1.504139563162277,0.6992258367069416,0.22181624287723628,0.3695380771615085,0.32350312902028444,13.080485929161997,17.926002666518112,26.733882393167335,1.949530158884012,11.130955770277984,18.718786705953,-0.7927840394348905,13.807584855293163,12.92629753787417,0.25,0.25,interaction_grid
GRID_RANGE_0.250000_DAY_0.30,232,227,0.2246981999946799,0.5217821782178218,1.5039929517854358,0.5418502202643172,8.554419048870862,51.00649139879238,5.962589757106295,208.30837004405285,1.4971199501125647,0.7050972365978676,0.207672718817867,0.37748006404750567,0.2594561270328048,14.529241045379935,10.194608461375406,26.160244249736913,1.949530158884012,12.579710886495926,12.578330876160438,-2.38372241478503,13.233946711862739,12.92629753787417,0.25,0.3,interaction_grid
GRID_RANGE_0.333333_DAY_0.20,249,244,0.2668583859936559,0.5771125539166893,1.625227713833809,0.5532786885245902,9.097683801191359,65.11344618245207,7.15714544551717,214.10245901639345,1.5209309218568579,0.6895814398598776,0.24999061094002584,0.4623026774751961,0.3270147107872276,10.284905524953007,21.945678557295537,32.7604644579034,4.962128040431395,5.322777484521614,21.29305477171427,0.6526237855812629,13.434411198541238,19.32605325936217,0.3333333333333333,0.2,interaction_grid
GRID_RANGE_0.333333_DAY_0.25,225,220,0.2580642442910283,0.564020391987318,1.5904267136335561,0.55,8.554419048870862,56.774133744026265,6.6368193350920945,211.0090909090909,1.509567570142499,0.6960665304387524,0.2407415666805889,0.45251897747485686,0.3204575539851577,8.837322569504801,21.28269602586893,26.531717506352415,2.9556790261979278,5.881643543306873,18.193700029236858,3.088995996632067,11.563707324800077,14.96801018155233,0.3333333333333333,0.25,interaction_grid
GRID_RANGE_0.333333_DAY_0.30,212,207,0.2329926829198588,0.5033956500266134,1.523889421559658,0.5410628019323671,8.554419048870862,48.229485364410785,5.637961513093846,210.6086956521739,1.4883542227171638,0.7035974972036794,0.21597308047130415,0.4672822602643119,0.3103497801906349,10.286077685722743,12.888958070726222,24.93205196566171,2.9556790261979278,7.330398659524814,11.390900449444297,1.4980576212819265,9.96404178410938,14.96801018155233,0.3333333333333333,0.3,interaction_grid
GRID_RANGE_0.400000_DAY_0.20,218,215,0.2744989043765437,0.5836956521739131,1.6722002698010845,0.5674418604651162,7.338826258873571,59.0172644409569,8.04178520640103,215.66046511627906,1.507214257293846,0.6779195859866501,0.25818032428634674,0.4365228519397227,0.36093862548361827,12.670876743848115,19.80340977799705,26.420580276811638,6.407088447671214,6.263788296176902,21.301610307122203,-1.4982005291251523,10.321062444714821,16.099517832096815,0.4,0.2,interaction_grid
GRID_RANGE_0.400000_DAY_0.25,195,192,0.2671306426530854,0.5822548028311425,1.6426287432093079,0.5677083333333334,8.554419048870862,51.28908338939242,5.995624378041464,212.91666666666666,1.4961102363463397,0.6844676954465022,0.25036842796168296,0.4282152645748742,0.3548953181021241,11.223293788399909,19.140427246570443,20.802964712121952,4.400639433437746,6.82265435496216,18.20225556464479,0.9381716819256511,8.450358570973659,12.352606141148291,0.4,0.25,interaction_grid
GRID_RANGE_0.400000_DAY_0.30,183,180,0.23181299873156497,0.5512980658530969,1.5437924909604066,0.5555555555555556,8.554419048870862,41.726339771681715,4.877752601702317,212.1,1.4631190754078325,0.6945197613115488,0.21542710166294812,0.45075073682247196,0.29603857440502357,12.672048904617847,9.728594053332499,19.203299171431254,4.400639433437746,8.271409471180101,11.399455984852228,-1.670861931519727,6.8506930302829625,12.352606141148291,0.4,0.3,interaction_grid
DAY_EXCLUDE_WITHIN_0.20ATR,347,340,0.16528484992499395,0.35025525525525525,1.3532648687396356,0.5176470588235295,10.467458928548687,56.196848974497996,5.368719319378279,204.85882352941175,1.4548585177137932,0.7159077978821513,0.14770569730836952,0.3967717204389538,0.36372447846043215,16.590428741107296,21.873993114822067,17.610029476268497,8.260722850492735,8.329705890614559,20.440169584368956,1.4338235304531097,3.795846559412146,13.814182916856353,,0.2,single_day
DAY_EXCLUDE_WITHIN_0.25ATR,310,304,0.16097878133839472,0.35025525525525525,1.3400098796793343,0.5164473684210527,8.632571354238342,48.93754952687205,5.6689423717123555,203.60197368421052,1.4586332931118855,0.7238620328444894,0.14324066088528795,0.43319237015952616,0.3963113513383093,12.808495581639798,23.26470212568401,12.74195417724808,6.2542738362592685,6.554221745380529,19.3945063841801,3.870195741503913,2.2727108899257065,10.469243287322376,,0.25,single_day
DAY_EXCLUDE_WITHIN_0.30ATR,289,284,0.1393985987127217,0.17322572359032165,1.286993308920081,0.5070422535211268,10.739360861501904,39.58920203441297,3.6863648167677274,203.2781690140845,1.452102171800284,0.7348904460020205,0.12160246119125888,0.4404851503785296,0.3085702647850472,14.25725069785774,13.281943998268822,11.9276096959863,6.2542738362592685,8.002976861598471,12.216050554387538,1.065893443881286,2.088479820227114,9.839129875759191,,0.3,single_day
RANGE_EXCLUDE_BELOW_0.250000,372,362,0.14670064376739908,0.154357476635514,1.3075943303471067,0.5082872928176796,11.524035134130713,53.10563304379849,4.608249838332724,208.90883977900552,1.426040409797226,0.7283477462993359,0.1304879371392048,0.5276557299597651,0.36606365520810763,13.095267436441837,16.52602655845146,23.36194140660507,2.1153822991154727,10.979885137326365,19.440042144153338,-2.914015585701879,9.621656238939481,13.740285167665585,0.25,,single_range
RANGE_EXCLUDE_BELOW_0.333333,343,335,0.14765499511043917,0.0556786703601108,1.3056839534256472,0.5014925373134328,9.470456769762505,49.46442336199716,5.223024038283806,211.01194029850745,1.4275081193255414,0.7330075229769378,0.1315092695755665,0.5964953353487452,0.3823951474984605,6.912579596570021,20.899099228147104,21.53034689497991,3.1215311664293885,3.7910484301406333,18.9149554674372,1.9841437607099053,7.377778708446396,14.15256818653351,0.3333333333333333,,single_range
RANGE_EXCLUDE_BELOW_0.400000,307,301,0.1516784702150637,0.2313001605136436,1.3228463721572061,0.5116279069767442,9.606676131926648,45.65521953473419,4.752447038680161,212.6611295681063,1.4166547845992639,0.7250559176971031,0.13597563081015346,0.551208868017021,0.45873340160256965,10.330217482131793,20.77689360408419,14.425710806218092,4.566491573669207,5.763725908462588,20.9435741580807,-0.16668055399651027,5.267155923056134,9.15855488316196,0.4,,single_range
